id  songname
0   chord transition
1   little star
2   scales practice
3   Happy Birthday
4   long long ago
5   farewell
6   for elise
7   Red River Valley
8   town
9   Bagatelle
10   sudi
11   贝加尔湖畔
12   le pecheur de lune
13   Canon in D
14   Melodies Of Life
15   Ricercare
16   answer
17   Castle in the Sky
18   友谊地久天长
19   Night and rainbow
20   PRELUDE
21   Allegretto
22   Cantate Domino
23   Yesterday
24   secret base
25   Twinkle Twinkle Little Star
26   canon
27   致爱丽丝
28   Spring Returns
29   Andantino
30   流行的云
31   Wind  Song
32   雪融花
33   Ben doi hiu quanh
34   dayu
35   Les Graces Naturelles
36   A Fancy (P-73)
37   没什么大不了
38   月光
39   To Zanarakand
40   Fortune My Foe
41   千与千寻
42   Moon River
43   The Rebel Army
44   Mistress Winter's Jump
